,,,,,,,,
Day,Topic,Provider,Lab Duration,Course Link,,,,
,,,,,,,,
Wednesday,CloudWatch & CloudTrail,,,,,,,
,Section 14: Cloud Monitoring,Udemy,40m,https://amazon.udemy.com/course/aws-certified-cloud-practitioner-new/learn/lecture/20056176#overview,,,,
,AWS CloudTrail Getting Started,SkillBuilder,1h,https://skillbuilder.aws/learn/6E2F4RVDA2/aws-cloudtrail-getting-started/N24M82M8YF,,,,
,Amazon CloudWatch Getting Started,SkillBuilder,1h,https://skillbuilder.aws/learn/HS1HSVQRHK/amazon-cloudwatch-getting-started/9Y34KP2H1T,,,,
,Introduction to Amazon CloudWatch Logs Insights,SkillBuilder,15m,https://skillbuilder.aws/learning-plan/RP19N68J5Y/aws-cloudwatch-service-learning-plan-includes-labs/JEBJSWQ3QJ,,,,
,Introduction to Amazon CloudWatch Logs,SkillBuilder,30m,https://skillbuilder.aws/learn/H5K7BTCH6K/introduction-to-amazon-cloudwatch-logs/WMQKV8ZS4V,,,,
,Performing a Basic Audit of your AWS Environment,SkillBuilder,1h,https://skillbuilder.aws/learn/3M2AHK66HV/performing-a-basic-audit-of-your-aws-environment/KNPKUSD4HQ?parentId=JEBJSWQ3QJ,,,,
,Scenario: Monitor your estimated charges using CloudWatch,AWS Docs,30m,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/gs_monitor_estimated_charges_with_cloudwatch.html,,,,
,Securing your network perimeter through observability,AWS Workshop,2h,https://catalog.workshops.aws/workshops/ed8e8b88-c88c-4bdb-adbf-7c61bae45eb4/en-US/30-vpcflowlogs/31-initial-assessment,,,,
,Hands-on experience with Amazon CloudWatch,AWS Workshop,3h,https://catalog.workshops.aws/workshops/6b7b81cc-01fc-4ef8-8427-a03096dc5a81/en-US,,,,
,,,,,,,,
Thursday,Troubleshooting & Cloud Support Best Practices,,,,,,,
,Choosing an AWS Database Service,AWS Docs,30m,https://docs.aws.amazon.com/databases-on-aws-how-to-choose/,,,,
,Section 21: Databases in AWS,Udemy,25m,https://amazon.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/learn/lecture/13528430#overview,,,,
,Best practices for Amazon RDS,AWS Docs,30m,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_BestPractices.html,,,,
,Troubleshooting for Amazon RDS,AWS Docs,1h,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Troubleshooting.html,,,,
,Best practices for designing and architecting with DynamoDB,AWS Docs,15m per topic,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/best-practices.html,,,,
,"Section 24: AWS Monitoring & Audit: CloudWatch, CloudTrail & Config",Udemy,1h 20m,https://amazon.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/learn/lecture/13528432#overview,,,,
,Amazon CloudWatch Troubleshooting,SkillBuilder,1h,https://skillbuilder.aws/learn/H8VEF842SZ/amazon-cloudwatch--troubleshooting/2TNKX3RA83,,,,
,AWS Security Best Practices: Monitoring and Alerting,SkillBuilder,2h,https://skillbuilder.aws/learn/S8ZA3HS5C9/aws-security-best-practices-monitoring-and-alerting/RUKNSXH4C5,,,,
,,,,,,,,
Friday,Service Deep Dive - Presentations,,,,,,,
,,,,,,,,
,,,,,,,,
Week 4,,,,,,,,
Monday,,,,,,,,
Tuesday,,,,,,,,
Wednesday,,,,,,,,
Thursday,,,,,,,,
Friday,,,,,,,,
